topic_id,top_terms
0,"dado, integridade, desenvolver, uso, analise, aplicacao, garantir, conteiner, saude, desempenho, avaliar, servidor, contribuir, publico, seguranca"
1,"utilizar, uso, plataforma, usuario, cliente, projeto, digital, recurso, problema, aplicacao, dado, pesquisa, desenvolver, trabalho, jogo"
2,"projeto, utilizar, desenvolvimento, professor, abordagem, fator, possuir, estudo, componente, outro, metrica, pratica, analisar, basear, modelo"
3,"aplicativo, usuario, aluno, utilizar, objetivo, trabalho, ferramenta, feedback, estudo, dado, tecnica, correcao, resultado, analise, pessoa"
4,"equipe, software, tarefa, genero, estudo, realizar, projeto, dado, desenvolvedor, fator, desenvolvimento_software, resultado, identificar, monitoramento, remoto"
5,"aluno, estudante, disciplina, interface, uso, algum, utilizar, digital, informacao, professor, realizar, apresentar, processo, funcionalidade, desenvolvimento"
6,"ferramenta, usuario, trabalho, dado, utilizar, software, animal, objetivo, modelo, desenvolvimento, avaliacao, avaliar, algum, informacao, processo"
7,"desempenho, modelo, informacao, cache, dado, aplicacao, trabalho, relevante, ferramenta, empresa, banco_dado, contexto, solucao, avaliar, crianca"
8,"documento, processo, ferramenta, realizar, analise, usuario, utilizar, problema, vulnerabilidade, manual, pesquisa, desempenho, estudo, melhorar, aplicacao"
9,"dado, usuario, aplicacao, realizar, necessario, ferramenta, principal, trabalho, academico, voz, evento, matricula, capaz, informacao, modelo"
10,"trabalho, software, musica, servico, equipe, presencial, custo, musical, artista, devido, preco, identificar, participante, seguranca, vulnerabilidade"
11,"projeto, utilizar, usuario, contexto, algoritmos, programador, desenvolvimento, processo, geracao, espaco, abordagem, algum, estudo, outro, github"
12,"modelo, usuario, utilizar, trabalho, desenvolvimento, acesso, considerar, dado, objetivo, pratica, funcionalidade, uso, projeto, estudo, aplicacao"
13,"imagem, trabalho, nuvem, criar, base_dado, objetivo, gerenciamento, usuario, recurso, gerar, realizar, avaliar, criacao, geracao, performance"
14,"ferramenta, utilizar, seguranca, configuracao, ambiente, autenticacao, servico, desenvolvimento, construcao, verificacao, facil, complexo, necessidade, uso, analise"
15,"modelo, dado, processo, ferramenta, utilizar, recomendacao, trabalho, tornar, resultado, analise, contexto, objetivo, uso, jogador, caracteristica"
16,"dado, trabalho, analise, utilizar, site, web, informacao, realizar, usuario, desenvolver, aluno, servidor, projeto, recurso, permitir"
17,"dado, utilizar, trabalho, analise, evento, informacao, documento, empresa, academico, projeto, aluno, sentimento, tweet, computacao, instituicao"
18,"modelo, uso, trabalho, imagem, produto, rede_neural, problema, classificacao, aplicacao, utilizar, gerar, desenvolvimento, objetivo, tecnologico, estudo"
19,"utilizar, empresa, servico, microsservico, distribuir, informacao, usuario, aplicacao, arquitetura, trabalho, dado, principal, necessidade, uso, oferecer"
20,"aluno, programacao, curso, disciplina, conceito, dificuldade, laboratorio, objeto, erro, estudo, ciencia_computacao, haver, experiencia, codigo, identificar"
21,"dado, cidade, busca, uso, sentimento, codigo, comentario, utilizar, objetivo, positivo, haver, modelo, tecnica, aplicacao, estudo"
22,"digital, tecnologia, uso, programacao, educacao, custo, online, curso, ferramenta, estudo, alto, eficiencia, surgir, modelo, desenvolvimento"
23,"modelo, processamento_linguagem, natural, usuario, utilizar, aluno, acuracia, programa, buscar, projeto, contexto, receber, tema, perfil, custo"
24,"utilizar, dado, desempenho, informacao, usuario, outro, digital, estudo, uso, avaliacao, permitir, contexto, algum, plataforma, ensino"
25,"solucao, ambiente, recurso, nuvem, tecnica, usuario, objetivo, teste, trabalho, permitir, ferramenta, estudo, aplicacao, criar, necessidade"
26,"dado, servico, aplicacao, funcao, projeto, trabalho, modelo, privacidade, metrica, apis, utilizar, biblioteca, software, teste, informacao"
27,"resultado, trabalho, resposta, consulta, aplicar, utilizar, uso, aplicacao, jogo, processo, busca, problema, solucao, bug, produto"
28,"aplicacao, trabalho, regiao, utilizar, dado, padrao, desenvolvimento, teste, caso, algoritmo, abordagem, paradigma, considerar, objeto, item"
29,"estudo, dado, resultado, abordagem, gerar, utilizar, sociedade, projeto, trabalho, impacto, politico, desempenho, realizar, algoritmo, plataforma"
